model,auc_roc,auc_pr,brier_score,log_loss,accuracy,precision,recall,specificity,f1,gini,ks_statistic,is_best
logistic_regression,0.5697963667080096,0.1804179058574541,0.1298868962300643,0.42692908716950906,0.8453,0.0,0.0,1.0,0.0,0.1395927334160192,0.11489202511533603,True
random_forest,0.5639019542332673,0.17829387626087712,0.12994101790763843,0.42716449710320986,0.8453,0.0,0.0,1.0,0.0,0.12780390846653455,0.10748783856834598,False
gradient_boosting,0.5713289674813951,0.18356815544914074,0.12989631783463773,0.42688196773411763,0.8454,1.0,0.0006464124111182935,1.0,0.0012919896640826874,0.1426579349627901,0.12072327224622614,False
hist_gradient_boosting,0.5721462551477652,0.18670684436095616,0.12965975257408188,0.42633704362482605,0.8453,0.0,0.0,1.0,0.0,0.14429251029553036,0.12343012899724404,False
